area_type,availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Ready To Move, Devarachikkanahalli,1170.0,2.0,2.0,40.0,2,3418.803418803419
Super built-up  Area,Ready To Move, Devarachikkanahalli,947.0,2.0,2.0,43.0,2,4540.654699049631
Super built-up  Area,Ready To Move, Devarachikkanahalli,1230.0,2.0,1.0,58.0,2,4715.447154471544
Built-up  Area,Ready To Move, Devarachikkanahalli,1116.0,2.0,1.0,47.0,2,4211.469534050179
Super built-up  Area,Ready To Move, Devarachikkanahalli,991.0,2.0,2.0,40.0,2,4036.326942482341
Super built-up  Area,18-Jun,1st Block Jayanagar,1630.0,3.0,2.0,194.0,3,11901.840490797545
Super built-up  Area,Ready To Move,1st Block Jayanagar,1875.0,2.0,3.0,235.0,3,12533.333333333334
Super built-up  Area,18-Jun,1st Block Jayanagar,1235.0,2.0,2.0,148.0,2,11983.805668016194
Built-up  Area,Ready To Move,1st Block Koramangala,1415.0,2.0,3.0,110.0,2,7773.851590106007
Built-up  Area,Ready To Move,1st Block Koramangala,860.0,2.0,2.0,65.5,2,7616.279069767442
Super built-up  Area,18-Dec,1st Block Koramangala,3000.0,3.0,3.0,300.0,4,10000.0
Built-up  Area,18-Mar,1st Block Koramangala,2350.0,3.0,2.0,210.0,3,8936.170212765957
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2825.0,4.0,3.0,250.0,4,8849.557522123894
Super built-up  Area,Ready To Move,1st Phase JP Nagar,1875.0,3.0,1.0,167.0,3,8906.666666666666
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2024.0,3.0,0.0,157.0,3,7756.916996047431
Super built-up  Area,Ready To Move,1st Phase JP Nagar,1394.0,2.0,1.0,100.0,2,7173.601147776184
Super built-up  Area,18-May,1st Phase JP Nagar,1077.0,2.0,2.0,93.0,2,8635.097493036212
Built-up  Area,Ready To Move,1st Phase JP Nagar,839.907117,1.0,1.0,63.0,1,7500.829404211371
Super built-up  Area,18-May,1st Phase JP Nagar,1590.0,3.0,3.0,131.0,3,8238.993710691824
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2180.0,3.0,2.0,210.0,3,9633.02752293578
Super built-up  Area,Ready To Move,1st Phase JP Nagar,1180.0,2.0,2.0,88.5,2,7500.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,1200.0,2.0,0.0,86.0,2,7166.666666666667
Super built-up  Area,18-May,1st Phase JP Nagar,2077.0,3.0,3.0,175.0,3,8425.613866153106
Super built-up  Area,Ready To Move,1st Phase JP Nagar,1205.0,2.0,1.0,85.0,2,7053.941908713693
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2615.0,5.0,3.0,222.0,4,8489.483747609942
Super built-up  Area,Ready To Move,1st Phase JP Nagar,900.0,2.0,1.0,75.0,2,8333.333333333334
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,1450.0,2.0,1.0,50.75,3,3500.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2,3500.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,1681.0,3.0,3.0,69.0,3,4104.699583581201
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2,3500.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1500.0,4.0,2.0,220.0,4,14666.666666666666
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,3000.0,8.0,3.0,451.0,6,15033.333333333334
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1350.0,4.0,1.0,200.0,4,14814.814814814816
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1500.0,3.0,2.0,230.0,4,15333.333333333334
